,State,Coal,Natural Gas,Fuel Oil,HGL,Kerosene,Petroleum Total,Wood,Geothermal,Solar,Electricity retail sales,Net energy,Electric System Losses,Total Energy
0,Alabama,0,29.0,,5.8,,5.8,1.6,0.1,0.1,106.9,143.6,187.9,331.5
1,Alaska,0,20.7,7.1,0.4,,7.6,6.2,0.1,,7.1,41.8,12.4,54.2
2,Arizona,0,42.6,,5.0,,5.1,4.0,0.1,21.3,132.1,205.1,236.4,441.6
3,Arkansas,0,30.7,,4.2,,4.2,5.3,0.8,0.4,61.3,102.8,113.6,216.4
4,California,0,474.0,0.4,23.7,0.4,24.6,21.1,0.3,113.4,323.9,957.2,550.5,1507.7
5,Colorado,0,146.0,0.3,11.9,,12.2,10.6,0.3,4.4,69.9,241.8,134.9,376.7
6,Connecticut,0,50.1,46.4,7.9,0.1,54.3,5.2,,4.6,44.3,158.6,70.9,229.5
7,Delaware,0,11.3,1.8,2.2,,4.0,0.5,0.4,0.8,17.0,34.1,28.8,62.9
8,Dist. of Col.,0,11.6,,,0.0,,,,0.6,8.4,20.6,16.0,36.6
9,Florida,0,17.8,,6.5,,6.6,0.2,8.0,35.9,454.8,523.3,692.9,1216.2
10,Georgia,0,123.1,0.1,8.5,,8.6,2.7,0.3,0.6,198.6,333.9,355.1,689.0
11,Hawaii,0,0.6,,0.5,0.0,0.5,,0.0,8.5,9.7,18.8,18.0,36.8
12,Idaho,0,31.5,0.5,4.3,,4.8,12.3,0.1,0.7,30.6,80.0,53.5,133.5
13,Illinois,0,410.9,0.3,26.7,0.1,27.1,5.0,2.0,2.9,157.5,600.7,339.3,940.0
14,Indiana,0,140.7,1.1,12.7,0.1,13.9,11.2,3.8,0.8,112.2,282.1,232.6,514.6
15,Iowa,0,68.3,0.6,23.8,0.1,24.5,4.4,0.5,0.7,49.7,142.5,90.7,233.2
16,Kansas,0,64.5,,8.6,,8.6,3.4,0.3,0.3,46.4,123.4,94.3,217.7
17,Kentucky,0,48.3,0.4,6.0,0.1,6.5,7.8,1.9,0.3,88.5,153.2,178.3,331.4
18,Louisiana,0,32.7,,2.0,,2.0,0.5,0.9,2.2,103.9,142.2,158.8,300.9
19,Maine,0,3.1,28.9,7.2,1.5,37.6,17.1,0.1,0.7,16.7,75.2,27.5,102.7
20,Maryland,0,80.4,10.7,7.3,0.2,18.2,4.6,0.6,6.3,93.2,203.2,177.5,380.7
21,Massachusetts,0,123.9,68.0,8.6,0.3,76.9,7.7,0.1,7.7,69.4,285.8,126.0,411.8
22,Michigan,0,322.6,2.9,36.3,0.1,39.3,30.1,4.3,1.3,122.4,519.9,250.5,770.5
23,Minnesota,0,136.8,2.9,28.1,0.1,31.1,15.7,1.1,0.9,78.3,263.8,147.3,411.1
24,Mississippi,0,21.2,,5.0,,5.0,1.1,0.2,0.1,61.4,88.9,90.9,179.8
25,Missouri,0,102.2,0.1,15.3,,15.4,16.2,0.4,1.7,119.3,255.1,251.5,506.6
26,Montana,0,23.4,0.3,8.5,,8.8,11.6,0.1,0.2,18.4,62.5,38.0,100.5
27,Nebraska,0,39.5,0.1,6.5,,6.5,2.2,0.5,0.1,35.9,84.7,75.3,160.0
28,Nevada,0,47.7,0.3,2.3,,2.6,2.1,0.3,7.4,48.9,109.0,74.9,183.9
29,New Hampshire,0,7.6,23.3,9.6,0.6,33.5,10.6,,0.9,16.3,69.0,32.3,101.2
30,New Jersey,0,232.6,19.8,3.9,,23.7,2.4,0.5,11.8,101.3,372.3,187.0,559.2
